algo,value,runtime_s,nodes_generated,nodes_explored,pruning_ratio,first_opt_node,memory_peak_mb,opt_known,opt_value,opt_time_s,correct,capacity,n,sum_w,timeout,error,class,sample,seed
bb_basic,690,0.00039340001239906996,73,73,0.0,21,0.0013580322265625,True,690,0.0010148000001208857,True,500,20,1177,False,,Uncorrelated,12,8560655
bb_enhanced,690,0.0013370999949984252,71,71,0.0,49,0.0061798095703125,True,690,0.0010148000001208857,True,500,20,1177,False,,Uncorrelated,12,8560655
bb_basic,739,0.0009925000049406663,192,192,0.0,21,0.0015106201171875,True,739,0.001018200011458248,True,500,20,1149,False,,Uncorrelated,13,8626192
bb_enhanced,739,0.003651099992566742,166,166,0.0,107,0.01763153076171875,True,739,0.001018200011458248,True,500,20,1149,False,,Uncorrelated,13,8626192
bb_basic,1034,0.0004549999866867438,68,68,0.0,21,0.00208282470703125,True,1034,0.0012529999949038029,True,500,20,807,False,,Uncorrelated,14,8691729
bb_enhanced,1034,0.0010399000020697713,43,43,0.0,25,0.00556182861328125,True,1034,0.0012529999949038029,True,500,20,807,False,,Uncorrelated,14,8691729
bb_basic,749,0.0002457999944454059,34,34,0.0,21,0.00165557861328125,True,749,0.0010949999996228144,True,500,20,1065,False,,Uncorrelated,15,8757266
bb_enhanced,749,0.0007612000044900924,34,34,0.0,21,0.00415802001953125,True,749,0.0010949999996228144,True,500,20,1065,False,,Uncorrelated,15,8757266
bb_basic,855,0.0003093999985139817,42,42,0.0,21,0.0019989013671875,True,855,0.0012663000088650733,True,500,20,859,False,,Uncorrelated,16,8822803
bb_enhanced,855,0.0009359999967273325,42,42,0.0,26,0.0048675537109375,True,855,0.0012663000088650733,True,500,20,859,False,,Uncorrelated,16,8822803
bb_basic,940,0.0006946000066818669,119,119,0.0,21,0.0016326904296875,True,940,0.001115199993364513,True,500,20,1049,False,,Uncorrelated,17,8888340
bb_enhanced,940,0.002377700002398342,104,104,0.0,63,0.011566162109375,True,940,0.001115199993364513,True,500,20,1049,False,,Uncorrelated,17,8888340
bb_basic,717,0.00022449999232776463,32,32,0.0,21,0.001373291015625,True,717,0.0010600999958114699,True,500,20,1040,False,,Uncorrelated,18,8953877
bb_enhanced,717,0.0006951999966986477,32,32,0.0,21,0.00360107421875,True,717,0.0010600999958114699,True,500,20,1040,False,,Uncorrelated,18,8953877
bb_basic,918,0.00034050000249408185,50,50,0.0,21,0.00186920166015625,True,918,0.0010676999954739586,True,500,20,986,False,,Uncorrelated,19,9019414
bb_enhanced,918,0.001155799996922724,52,52,0.0,32,0.0059356689453125,True,918,0.0010676999954739586,True,500,20,986,False,,Uncorrelated,19,9019414
bb_basic,888,0.00033200001053046435,53,53,0.0,26,0.001678466796875,True,888,0.001245000006747432,True,500,25,1335,False,,Uncorrelated,0,7935841
bb_enhanced,888,0.001057999994372949,53,53,0.0,38,0.00473785400390625,True,888,0.001245000006747432,True,500,25,1335,False,,Uncorrelated,0,7935841
bb_basic,800,0.0005099999980302528,89,89,0.0,26,0.001861572265625,True,800,0.001226500011398457,True,500,25,1306,False,,Uncorrelated,1,8001378
