class,rep,sample,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
Uncorrelated,1,19,GreedyDensity,976,8.100178092718124e-06,0.29530685920577615,True,0.0007861999329179525,1000,60,40362
Uncorrelated,1,19,Greedy+Max,1385,1.0200077667832375e-05,0.0,True,0.0007861999329179525,1000,60,40362
Uncorrelated,2,0,GreedyDensity,992,8.200062438845634e-06,0.39215686274509803,True,0.0008678000885993242,1000,60,39815
Uncorrelated,2,0,Greedy+Max,1632,1.0299962013959885e-05,0.0,True,0.0008678000885993242,1000,60,39815
Uncorrelated,2,1,GreedyDensity,956,8.200062438845634e-06,0.36436170212765956,True,0.0008609998039901257,1000,60,39248
Uncorrelated,2,1,Greedy+Max,1504,1.0200077667832375e-05,0.0,True,0.0008609998039901257,1000,60,39248
Uncorrelated,2,2,GreedyDensity,977,8.19982960820198e-06,0.3889931207004378,True,0.0008145000319927931,1000,60,39596
Uncorrelated,2,2,Greedy+Max,1599,1.0200077667832375e-05,0.0,True,0.0008145000319927931,1000,60,39596
Uncorrelated,2,3,GreedyDensity,995,8.09994526207447e-06,0.31331953071083507,True,0.0008209000807255507,1000,60,39766
Uncorrelated,2,3,Greedy+Max,1449,1.00000761449337e-05,0.0,True,0.0008209000807255507,1000,60,39766
Uncorrelated,2,4,GreedyDensity,959,9.00006853044033e-06,0.3876117496807152,True,0.0009030997753143311,1000,60,39201
Uncorrelated,2,4,Greedy+Max,1566,1.0599847882986069e-05,0.0,True,0.0009030997753143311,1000,60,39201
Uncorrelated,2,5,GreedyDensity,981,8.400063961744308e-06,0.3516192994051553,True,0.0008602999150753021,1000,60,39192
Uncorrelated,2,5,Greedy+Max,1513,1.0299962013959885e-05,0.0,True,0.0008602999150753021,1000,60,39192
Uncorrelated,2,6,GreedyDensity,954,8.600065484642982e-06,0.35714285714285715,True,0.000861200038343668,1000,60,39350
Uncorrelated,2,6,Greedy+Max,1484,1.0600080713629723e-05,0.0,True,0.000861200038343668,1000,60,39350
Uncorrelated,2,7,GreedyDensity,880,8.299946784973145e-06,0.38461538461538464,True,0.000826600007712841,1000,60,39469
Uncorrelated,2,7,Greedy+Max,1430,1.0499963536858559e-05,0.0,True,0.000826600007712841,1000,60,39469
Uncorrelated,2,8,GreedyDensity,902,8.399831131100655e-06,0.3962516733601071,True,0.0008909001480787992,1000,60,39044
Uncorrelated,2,8,Greedy+Max,1494,1.0500196367502213e-05,0.0,True,0.0008909001480787992,1000,60,39044
Uncorrelated,2,9,GreedyDensity,914,8.400063961744308e-06,0.3696551724137931,True,0.0008409000001847744,1000,60,39463
Uncorrelated,2,9,Greedy+Max,1450,1.0499963536858559e-05,0.0,True,0.0008409000001847744,1000,60,39463
Uncorrelated,2,10,GreedyDensity,987,8.300179615616798e-06,0.35909090909090907,True,0.0008294000290334225,1000,60,39271
Uncorrelated,2,10,Greedy+Max,1540,1.0399846360087395e-05,0.0,True,0.0008294000290334225,1000,60,39271
Uncorrelated,2,11,GreedyDensity,974,8.499948307871819e-06,0.4143114852675887,True,0.000847900053486228,1000,60,39232
Uncorrelated,2,11,Greedy+Max,1663,1.0400079190731049e-05,0.0,True,0.000847900053486228,1000,60,39232
Uncorrelated,2,12,GreedyDensity,964,8.400063961744308e-06,0.4089515634580012,True,0.0008297997992485762,1000,60,39805
Uncorrelated,2,12,Greedy+Max,1631,1.0399846360087395e-05,0.0,True,0.0008297997992485762,1000,60,39805
Uncorrelated,2,13,GreedyDensity,974,8.400063961744308e-06,0.3889585947302384,True,0.0008175999391824007,1000,60,39395
Uncorrelated,2,13,Greedy+Max,1594,1.0499963536858559e-05,0.0,True,0.0008175999391824007,1000,60,39395
Uncorrelated,2,14,GreedyDensity,896,8.299946784973145e-06,0.38545953360768176,True,0.0008604000322520733,1000,60,38917
Uncorrelated,2,14,Greedy+Max,1458,1.3599870726466179e-05,0.0,True,0.0008604000322520733,1000,60,38917
Uncorrelated,2,15,GreedyDensity,968,8.500181138515472e-06,0.36441234405778067,True,0.0008624999318271875,1000,60,39198
Uncorrelated,2,15,Greedy+Max,1523,1.0599847882986069e-05,0.0,True,0.0008624999318271875,1000,60,39198
Uncorrelated,2,16,GreedyDensity,974,8.299946784973145e-06,0.3592105263157895,True,0.0008197999559342861,1000,60,39606
Uncorrelated,2,16,Greedy+Max,1520,1.0299962013959885e-05,0.0,True,0.0008197999559342861,1000,60,39606
Uncorrelated,2,17,GreedyDensity,945,8.299946784973145e-06,0.38235294117647056,True,0.0008741999045014381,1000,60,39085
Uncorrelated,2,17,Greedy+Max,1530,1.0299962013959885e-05,0.0,True,0.0008741999045014381,1000,60,39085
Uncorrelated,2,18,GreedyDensity,998,8.200062438845634e-06,0.4132863021751911,True,0.0008483000565320253,1000,60,39365
Uncorrelated,2,18,Greedy+Max,1701,1.0299962013959885e-05,0.0,True,0.0008483000565320253,1000,60,39365
Uncorrelated,2,19,GreedyDensity,992,8.09994526207447e-06,0.3899138991389914,True,0.0008402999956160784,1000,60,39709
Uncorrelated,2,19,Greedy+Max,1626,1.0200077667832375e-05,0.0,True,0.0008402999956160784,1000,60,39709
Uncorrelated,3,0,GreedyDensity,923,8.200062438845634e-06,0.3801208865010074,True,0.0008439000230282545,1000,60,39349
Uncorrelated,3,0,Greedy+Max,1489,1.019984483718872e-05,0.0,True,0.0008439000230282545,1000,60,39349
Uncorrelated,3,1,GreedyDensity,919,8.19982960820198e-06,0.39299867899603697,True,0.0008382999803870916,1000,60,39408
Uncorrelated,3,1,Greedy+Max,1514,1.0200077667832375e-05,0.0,True,0.0008382999803870916,1000,60,39408
Uncorrelated,3,2,GreedyDensity,998,8.200062438845634e-06,0.4122497055359246,True,0.0008834998589009047,1000,60,38206
Uncorrelated,3,2,Greedy+Max,1698,1.0299962013959885e-05,0.0,True,0.0008834998589009047,1000,60,38206
