class,algo,n,mean_memory_mb,std_memory_mb,ci95_memory_mb,max_memory_mb,min_memory_mb,count
SubsetSum,bb_basic,15,0.0013679504394530952,0.00020732191142078146,9.086283388376323e-05,0.001708984375,0.0010299682617187,20
SubsetSum,bb_basic,20,0.00163192749023434,0.0002010777628056677,8.812621509382215e-05,0.0019607543945312,0.001220703125,20
SubsetSum,bb_basic,25,0.001857757568359345,0.00029429566065121996,0.0001289807601290702,0.002471923828125,0.0014801025390625,20
SubsetSum,bb_basic,30,0.0017086029052734149,0.0002815374987112378,0.00012338924912538306,0.0022811889648437,0.0012054443359375,20
SubsetSum,bb_enhanced,15,0.08764953613281248,0.0559768084534389,0.024532917977613353,0.2627944946289062,0.0253219604492187,20
SubsetSum,bb_enhanced,20,0.11216239929199216,0.04670151428519985,0.020467841076401334,0.247283935546875,0.0404510498046875,20
SubsetSum,bb_enhanced,25,0.24061470031738277,0.11189194074895395,0.04903880518721179,0.5088577270507812,0.1025924682617187,20
SubsetSum,bb_enhanced,30,0.2737403869628906,0.1152406250527815,0.0505064307919666,0.5679550170898438,0.1443023681640625,20
Uncorrelated,bb_basic,15,0.0013896942138671548,0.00017757211438483543,7.782441045988061e-05,0.0016860961914062,0.0010299682617187,20
Uncorrelated,bb_basic,20,0.001620101928710915,0.0003135464250798392,0.0001374177796337908,0.0022811889648437,0.0011215209960937,20
Uncorrelated,bb_basic,25,0.0020061492919921653,0.00028558892486599724,0.00012516486492580417,0.0025787353515625,0.00164794921875,20
Uncorrelated,bb_basic,30,0.002317810058593725,0.0002759779071537077,0.00012095265069402789,0.0026626586914062,0.001708984375,20
Uncorrelated,bb_enhanced,15,0.0044357299804687195,0.0013343244058836657,0.0005847934548162077,0.0085220336914062,0.0028610229492187,20
Uncorrelated,bb_enhanced,20,0.006254959106445296,0.0038682755026217095,0.0016953464879936244,0.0176315307617187,0.0030746459960937,20
Uncorrelated,bb_enhanced,25,0.0071289062499999695,0.0031300788158382968,0.0013718175254007095,0.0159530639648437,0.0041732788085937,20
Uncorrelated,bb_enhanced,30,0.007256555557250945,0.0030416456866221666,0.0013330599976762126,0.0185928344726562,0.0047760009765625,20
WeaklyCorr,bb_basic,15,0.0012947082519530902,0.00018210051638117708,7.980907013976069e-05,0.0017242431640625,0.0010604858398437,20
WeaklyCorr,bb_basic,20,0.001362991333007785,0.0001914046723590705,8.38867962867675e-05,0.0016632080078125,0.0009765625,20
WeaklyCorr,bb_basic,25,0.0016124725341796701,0.00023023340140619937,0.00010090423710211046,0.0022048950195312,0.0012664794921875,20
WeaklyCorr,bb_basic,30,0.001713180541992165,0.00032332296896668154,0.00014170253891012476,0.0023651123046875,0.0012664794921875,20
WeaklyCorr,bb_enhanced,15,0.010400342941284155,0.007217504060910768,0.003163210622783143,0.0314245223999023,0.0034713745117187,20
WeaklyCorr,bb_enhanced,20,0.009247970581054669,0.006946097063660101,0.003044261261680511,0.0276336669921875,0.0027923583984375,20
WeaklyCorr,bb_enhanced,25,0.01399040222167966,0.008842701556109188,0.0038754848297038497,0.039306640625,0.0043106079101562,20
