class,rep,sample,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
Uncorrelated,1,12,Classic_BeamSearch,1629,0.00017630000365898013,0.0,True,0.0009139999892795458,1000,60,39937
Uncorrelated,1,12,Bounded_BeamSearch,1629,0.00019859999883919954,0.0,True,0.0009139999892795458,1000,60,39937
Uncorrelated,1,13,Classic_BeamSearch,1618,0.00018149999959859997,0.0,True,0.0010329999931855127,1000,60,39199
Uncorrelated,1,13,Bounded_BeamSearch,1618,0.00020599999697878957,0.0,True,0.0010329999931855127,1000,60,39199
Uncorrelated,1,14,Classic_BeamSearch,1506,0.00018089999502990395,0.0,True,0.0009764999995240942,1000,60,39115
Uncorrelated,1,14,Bounded_BeamSearch,1506,0.00022330001229420304,0.0,True,0.0009764999995240942,1000,60,39115
Uncorrelated,1,15,Classic_BeamSearch,1492,0.00019570000586099923,0.0,True,0.001039499999023974,1000,60,38962
Uncorrelated,1,15,Bounded_BeamSearch,1492,0.00022560000070370734,0.0,True,0.001039499999023974,1000,60,38962
Uncorrelated,1,16,Classic_BeamSearch,1664,0.0001782000035746023,0.0,True,0.001013999994029291,1000,60,38499
Uncorrelated,1,16,Bounded_BeamSearch,1664,0.0001697999978205189,0.0,True,0.001013999994029291,1000,60,38499
Uncorrelated,1,17,Classic_BeamSearch,1510,0.0001795000134734437,0.0,True,0.0009325999999418855,1000,60,39405
Uncorrelated,1,17,Bounded_BeamSearch,1510,0.00019380000594537705,0.0,True,0.0009325999999418855,1000,60,39405
Uncorrelated,1,18,Classic_BeamSearch,1479,0.00018740000086836517,0.0,True,0.000901399995200336,1000,60,39587
Uncorrelated,1,18,Bounded_BeamSearch,1479,0.00024130000383593142,0.0,True,0.000901399995200336,1000,60,39587
Uncorrelated,1,19,Classic_BeamSearch,1385,0.00018260000797454268,0.0,True,0.0012546000070869923,1000,60,40362
Uncorrelated,1,19,Bounded_BeamSearch,1385,0.00020160000713076442,0.0,True,0.0012546000070869923,1000,60,40362
Uncorrelated,2,0,Classic_BeamSearch,1632,0.0001720000000204891,0.0,True,0.0009662999946158379,1000,60,39815
Uncorrelated,2,0,Bounded_BeamSearch,1632,0.00015320000238716602,0.0,True,0.0009662999946158379,1000,60,39815
Uncorrelated,2,1,Classic_BeamSearch,1504,0.00017349999689031392,0.0,True,0.0009361999982502311,1000,60,39248
Uncorrelated,2,1,Bounded_BeamSearch,1504,0.0002094999945256859,0.0,True,0.0009361999982502311,1000,60,39248
Uncorrelated,2,2,Classic_BeamSearch,1599,0.00018629999249242246,0.0,True,0.0010763000027509406,1000,60,39596
Uncorrelated,2,2,Bounded_BeamSearch,1599,0.0002099999983329326,0.0,True,0.0010763000027509406,1000,60,39596
Uncorrelated,2,3,Classic_BeamSearch,1449,0.0001782000035746023,0.0,True,0.000912199990125373,1000,60,39766
Uncorrelated,2,3,Bounded_BeamSearch,1449,0.00024080000002868474,0.0,True,0.000912199990125373,1000,60,39766
Uncorrelated,2,4,Classic_BeamSearch,1566,0.00017519999528303742,0.0,True,0.0009637000039219856,1000,60,39201
Uncorrelated,2,4,Bounded_BeamSearch,1566,0.00019299999985378236,0.0,True,0.0009637000039219856,1000,60,39201
Uncorrelated,2,5,Classic_BeamSearch,1513,0.00017769999976735562,0.0,True,0.0010571000020718202,1000,60,39192
